2025-05-30T17:18:50.667+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.orm.jpa.HibernateJpaAutoConfiguration'
2025-05-30T17:18:50.668+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.ConfigurationPropertiesAutoConfiguration'
2025-05-30T17:18:50.668+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.context.LifecycleAutoConfiguration'
2025-05-30T17:18:50.668+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'lifecycleProcessor'
2025-05-30T17:18:50.669+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.lifecycle-org.springframework.boot.autoconfigure.context.LifecycleProperties'
2025-05-30T17:18:50.669+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'lifecycleProcessor' via factory method to bean named 'spring.lifecycle-org.springframework.boot.autoconfigure.context.LifecycleProperties'
2025-05-30T17:18:50.670+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.dao.PersistenceExceptionTranslationAutoConfiguration'
2025-05-30T17:18:50.670+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.data.jpa.JpaRepositoriesAutoConfiguration'
2025-05-30T17:18:50.671+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.data.jpa.util.JpaMetamodelCacheCleanup'
2025-05-30T17:18:50.671+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.data.jpa.repository.support.JpaEvaluationContextExtension'
2025-05-30T17:18:50.671+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'data-jpa.repository-aot-processor#0'
2025-05-30T17:18:50.676+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.JacksonHttpMessageConvertersConfiguration'
2025-05-30T17:18:50.676+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.data.web.config.ProjectingArgumentResolverRegistrar'
2025-05-30T17:18:50.676+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'offsetResolver'
2025-05-30T17:18:50.677+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'h2ConsoleLogger'
2025-05-30T17:18:50.678+08:00  INFO 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.a.h2.H2ConsoleAutoConfiguration    : H2 console available at '/h2-console'. Database available at 'jdbc:h2:mem:React.Jwt.Login'
2025-05-30T17:18:50.679+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.http.client.HttpClientAutoConfiguration'
2025-05-30T17:18:50.680+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'spring.http.client-org.springframework.boot.autoconfigure.http.client.HttpClientProperties'
2025-05-30T17:18:50.681+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Autowiring by type from bean name 'org.springframework.boot.autoconfigure.http.client.HttpClientAutoConfiguration' via constructor to bean named 'spring.http.client-org.springframework.boot.autoconfigure.http.client.HttpClientProperties'
2025-05-30T17:18:50.681+08:00 DEBUG 16724 --- [React.Jwt.Login] [restartedMain] o.s.b.f.s.DefaultListableBeanFactory     : Creating shared instance of singleton bean 'clientHttpRequestFactoryBuilder'
